node1,node2,bwd,delay,pkloss
1,3,99999.792728,1.924157,0.0
1,7,99999.79271,0.493169,0.0
1,16,99999.79271,0.0,0.0
2,4,99999.834168,2.817035,0.0
2,7,99999.792692,0.449181,0.0
2,12,99999.834154,0.0,0.0
2,13,99999.792692,0.0,0.0
2,18,24999.834154,1.625061,0.0
2,23,24999.834154,1.746416,0.0
3,10,99999.792728,0.942707,0.0
3,11,24999.79271,3.394842,0.0
3,14,1549.792746,0.0,0.0
3,21,99999.792692,3.125191,0.0
4,16,99999.79271,1.10054,0.0
5,8,24999.834154,1.139522,0.0
5,16,24999.792692,1.019716,0.0
6,7,1549.79271,0.992537,0.0
6,19,1549.792728,2.747059,0.0
7,17,99999.792692,1.327157,0.0
7,19,24999.792728,0.918269,0.0
7,21,99999.792692,1.82128,0.0
8,9,24999.792692,0.710249,0.0
9,15,24999.792692,0.0,0.0
9,16,99999.792692,0.185013,0.0
10,11,24999.79271,4.042864,0.0
10,12,99999.834154,3.096819,0.0
10,16,99999.834154,0.093102,0.0
10,17,99999.834154,1.848936,0.0
12,22,99999.834154,1.107097,0.0
13,14,1549.792728,0.810862,0.0
13,17,99999.792692,0.17643,0.0
13,19,24999.792728,0.761867,0.0
15,20,24999.79271,4.805565,0.0
17,20,99999.834154,2.187252,0.0
17,23,24999.83414,2.906084,0.0
18,21,24999.834154,1.779437,0.0
20,22,24999.834154,0.343561,0.0
