node1,node2,bwd,delay,pkloss
1,3,99999.826276,inf,0.0
1,7,99999.826307,inf,0.0
1,16,99999.826268,inf,0.0
2,4,99999.826213,inf,0.0
2,7,99999.826229,inf,0.0
2,12,99999.782766,inf,0.0
2,13,99999.826236,inf,0.0
2,18,99999.826197,inf,0.0
2,23,99999.826229,inf,0.0
3,10,99999.826401,inf,0.0
3,11,99999.782746,inf,0.0
3,14,99999.826386,inf,0.0
3,21,99999.782727,inf,0.0
4,16,99999.826205,inf,0.0
5,8,99999.783002,inf,0.0
5,16,99999.782746,inf,0.0
6,7,99999.826229,inf,0.0
6,19,99999.826205,inf,0.0
7,17,99999.782786,inf,0.0
7,19,99999.782786,inf,0.0
7,21,99999.782766,inf,0.0
8,9,99999.826378,inf,0.0
9,15,99999.826221,inf,0.0
9,16,99999.826181,inf,0.0
10,11,99999.782992,inf,0.0
10,12,99999.783021,inf,0.0
10,16,99999.782982,inf,0.0
10,17,99999.783011,inf,0.0
12,22,99999.826221,inf,0.0
13,14,99999.826425,inf,0.0
13,17,99999.782796,inf,0.0
13,19,99999.782796,inf,0.0
15,20,99999.782805,inf,0.0
17,20,99999.782776,inf,0.0
17,23,99999.782796,inf,0.0
18,21,99999.782737,inf,0.0
20,22,99999.826221,inf,0.0
