node1,node2,bwd,delay,pkloss
1,3,99999.802437,1.21963,0.0
1,7,99999.802339,1.156926,0.0
1,16,99999.802372,0.0,0.0
2,4,99999.802396,1.22273,0.0
2,7,99999.802388,0.887871,0.0
2,12,99999.802404,0.715137,0.0
2,13,99999.80238,1.333952,0.0
2,18,24999.802412,1.20306,0.0
2,23,24999.802388,1.110077,0.0
3,10,99999.802445,1.995564,0.0
3,11,24999.802493,0.724792,0.0
3,14,1549.802445,2.234697,0.0
3,21,99999.802502,2.435446,0.0
4,16,99999.802404,0.0,0.0
5,8,24999.802363,2.184153,0.0
5,16,24999.802412,0.0,0.0
6,7,1549.802331,1.515865,0.0
6,19,1549.802306,1.213431,0.0
7,17,99999.841904,2.375603,0.0
7,19,24999.841858,1.433849,0.0
7,21,99999.84191,1.88303,0.0
8,9,24999.802388,0.700831,0.0
9,15,24999.80238,0.699162,0.0
9,16,99999.802437,0.0,0.0
10,11,24999.802372,2.983212,0.0
10,12,99999.802355,0.600338,0.0
10,16,99999.80238,0.0,0.0
10,17,99999.802372,1.561165,0.0
12,22,99999.802404,0.772953,0.0
13,14,1549.802331,0.300169,0.0
13,17,99999.841897,0.229716,0.0
13,19,24999.841858,0.260592,0.0
15,20,24999.802347,1.516104,0.0
17,20,99999.802404,0.918746,0.0
17,23,24999.802388,0.508785,0.0
18,21,24999.80242,0.835896,0.0
20,22,24999.802388,0.799775,0.0
